<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;M;20110401;000000;40.2846000;40.9340000;39.6253000;40.4770000;0
EURRUB;M;20110501;000000;40.4710000;40.8230000;39.4519000;40.2421000;0
EURRUB;M;20110601;000000;40.2557000;40.8930000;39.6733000;40.4774000;0
EURRUB;M;20110701;000000;40.4556000;40.6000000;39.3387000;39.7120000;0
EURRUB;M;20110801;000000;39.8620000;42.9546000;39.3270000;41.4567000;11
EURRUB;M;20110901;000000;41.4630000;43.8220000;40.6942000;43.1200000;0
EURRUB;M;20111001;000000;43.1197000;43.6284000;40.5760000;41.8020000;0
EURRUB;M;20111101;000000;41.9760000;42.4580000;40.5760000;41.2785000;0
EURRUB;M;20111201;000000;41.2630000;42.1987000;40.5589000;41.6120000;0
EURRUB;M;20120101;000000;41.6307000;41.9320000;39.5489000;39.6190000;0
EURRUB;M;20120201;000000;39.6380000;39.8976000;38.7470000;38.7490000;179
EURRUB;M;20120301;000000;38.7612000;39.3930000;38.2640000;39.2430000;0
EURRUB;M;20120401;000000;39.1920000;39.3010000;38.3060000;38.8550000;0
EURRUB;M;20120501;000000;38.8399000;41.6816000;38.5500000;41.2830000;0
EURRUB;M;20120601;000000;41.2800000;42.3390000;39.5828000;41.0360000;0
EURRUB;M;20120701;000000;41.0541000;41.2640000;38.7410000;39.6182000;0
EURRUB;M;20120801;000000;39.6230000;40.8560000;38.7940000;40.5370000;2176
EURRUB;M;20120901;000000;40.5510000;41.1660000;35.8580000;40.0470000;0
EURRUB;M;20121001;000000;40.0691000;41.0250000;35.5630000;40.8200000;0
EURRUB;M;20121101;000000;40.6410000;41.0090000;39.8778000;40.1110000;0
EURRUB;M;20121201;000000;40.1090000;40.9710000;39.6485000;40.3071000;0
EURRUB;M;20130101;000000;40.3095000;40.8210000;39.3200000;40.7505000;0
EURRUB;M;20130201;000000;40.7610000;40.9360000;38.7676000;39.9450000;0
EURRUB;M;20130301;000000;39.9840000;40.3360000;39.4720000;39.7890000;0
EURRUB;M;20130401;000000;39.8010000;41.5960000;39.6251000;40.9970000;0
EURRUB;M;20130501;000000;40.9970000;41.5364000;40.0980000;41.4979000;0
EURRUB;M;20130601;000000;41.4860000;43.7695000;41.4010000;42.6990000;0
