<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BZ;M;20100201;000000;71.4200000;78.9400000;67.8800000;78.0300000;1114945
BZ;M;20100301;000000;78.0900000;82.8200000;76.2100000;82.1700000;1123724
BZ;M;20100401;000000;82.2600000;87.9600000;82.2000000;87.3500000;1161460
BZ;M;20100501;000000;87.2600000;89.5800000;68.1500000;74.6000000;1430468
BZ;M;20100601;000000;74.9000000;79.8600000;70.5000000;74.6600000;1694047
BZ;M;20100701;000000;74.6500000;78.3100000;70.7700000;78.2600000;1564294
BZ;M;20100801;000000;78.1100000;82.8600000;71.7500000;74.4200000;1569322
BZ;M;20100901;000000;74.4900000;82.4000000;74.3700000;82.1100000;1696391
BZ;M;20101001;000000;82.2100000;86.0200000;80.7500000;83.2600000;1796166
BZ;M;20101101;000000;83.2000000;89.7000000;82.4300000;85.4500000;1859326
BZ;M;20101201;000000;85.7100000;95.2000000;85.4100000;94.5900000;1268023
BZ;M;20110101;000000;94.7400000;101.7300000;92.3700000;100.5600000;1547361
BZ;M;20110201;000000;101.0100000;119.7900000;97.5100000;112.1000000;1836935
BZ;M;20110301;000000;111.9000000;118.5000000;107.4000000;117.1700000;2193264
BZ;M;20110401;000000;117.6100000;126.9100000;116.7500000;126.0300000;1736772
BZ;M;20110501;000000;126.0000000;126.5400000;105.1500000;116.6800000;2421181
BZ;M;20110601;000000;117.0700000;120.0000000;102.2800000;111.8000000;2511187
BZ;M;20110701;000000;111.8000000;119.8700000;109.5000000;117.5400000;1863999
BZ;M;20110801;000000;117.5800000;120.4000000;98.8600000;114.4900000;2591383
BZ;M;20110901;000000;114.8500000;116.6000000;101.6600000;102.1500000;2376524
BZ;M;20111001;000000;101.9000000;113.8600000;99.1100000;109.1900000;2417460
BZ;M;20111101;000000;109.1800000;116.4800000;105.6500000;110.3700000;2320442
BZ;M;20111201;000000;110.7500000;111.6200000;102.3700000;107.2200000;1709504
BZ;M;20120101;000000;108.3500000;114.7700000;108.3500000;111.1600000;2112198
BZ;M;20120201;000000;111.3000000;125.5500000;111.0200000;123.0400000;2125901
BZ;M;20120301;000000;123.0000000;128.4000000;121.3800000;122.8000000;2182752
BZ;M;20120401;000000;122.3000000;125.3600000;116.7000000;119.4700000;1784928
BZ;M;20120501;000000;119.2500000;119.7000000;101.2700000;101.6200000;1918407
BZ;M;20120601;000000;101.2200000;101.9500000;88.4900000;97.5700000;2272889
BZ;M;20120701;000000;97.8500000;108.1800000;95.3500000;104.6200000;1954832
BZ;M;20120801;000000;103.4700000;116.3800000;102.9700000;114.9200000;1820877
BZ;M;20120901;000000;114.1400000;117.9500000;107.1000000;112.1400000;1883884
BZ;M;20121001;000000;112.1400000;114.9500000;106.8000000;108.4000000;2052252
